date,datetime,,1/1/2000 0:00
106.5,4/16/2002 12:00,,
129.5,5/9/2002 12:00,,
227.5,8/15/2002 12:00,,
258,9/15/2002 0:00,,
288.5,10/15/2002 12:00,,
319,11/15/2002 0:00,,
349.5,12/15/2002 12:00,,
380.5,1/15/2003 12:00,,
410,2/14/2003 0:00,,
439.5,3/15/2003 12:00,,
470,4/15/2003 0:00,,
495.5,5/10/2003 12:00,,
561.5,7/15/2003 12:00,,
592.5,8/15/2003 12:00,,
623,9/15/2003 0:00,,
653,10/15/2003 0:00,,
684,11/15/2003 0:00,,
714.5,12/15/2003 12:00,,
736.5,1/6/2004 12:00,,
777,2/16/2004 0:00,,
805.5,3/15/2004 12:00,,
836,4/15/2004 0:00,,
866.5,5/15/2004 12:00,,
897,6/15/2004 0:00,,
927.5,7/15/2004 12:00,,
958.5,8/15/2004 12:00,,
989,9/15/2004 0:00,,
1019.5,10/15/2004 12:00,,
1050,11/15/2004 0:00,,
1080.5,12/15/2004 12:00,,
1111.5,1/15/2005 12:00,,
1141,2/14/2005 0:00,,
1170.5,3/15/2005 12:00,,
1201,4/15/2005 0:00,,
1231.5,5/15/2005 12:00,,
1262,6/15/2005 0:00,,
1292.5,7/15/2005 12:00,,
1323.5,8/15/2005 12:00,,
1354,9/15/2005 0:00,,
1384.5,10/15/2005 12:00,,
1415,11/15/2005 0:00,,
1445.5,12/15/2005 12:00,,
1476.5,1/15/2006 12:00,,
1506,2/14/2006 0:00,,
1535.5,3/15/2006 12:00,,
1566,4/15/2006 0:00,,
1596.5,5/15/2006 12:00,,
1627,6/15/2006 0:00,,
1657.5,7/15/2006 12:00,,
1688.5,8/15/2006 12:00,,
1719,9/15/2006 0:00,,
1749.5,10/15/2006 12:00,,
1780,11/15/2006 0:00,,
1810.5,12/15/2006 12:00,,
1841.5,1/15/2007 12:00,,
1871,2/14/2007 0:00,,
1900.5,3/15/2007 12:00,,
1931,4/15/2007 0:00,,
1961.5,5/15/2007 12:00,,
1992,6/15/2007 0:00,,
2022.5,7/15/2007 12:00,,
2053.5,8/15/2007 12:00,,
2084,9/15/2007 0:00,,
2114.5,10/15/2007 12:00,,
2145,11/15/2007 0:00,,
2175.5,12/15/2007 12:00,,
2206.5,1/15/2008 12:00,,
