GAGEID,COMID,svc_sd,xgb_sd,NUSVR_alpha,NuSVR_beta,GP_alpha,GP_beta,Jan_NN,Feb_NN,March_NN,April_NN,May_NN,June_NN,July_NN,Aug_NN,Sept_NN,Oct_NN,Nov_NN,Dec_NN,NN_td,Jan_XT,Feb_XT,March_XT,April_XT,May_XT,June_XT,July_XT,Aug_XT,Sept_XT,Oct_XT,Nov_XT,Dec_XT,XT_td,Jan_RF,Feb_RF,March_RF,April_RF,May_RF,June_RF,July_RF,Aug_RF,Sept_RF,Oct_RF,Nov_RF,Dec_RF,RF_td
3649630,62127886,2,2,2.274281788,0.050687153,2.274281788,0.050687153,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,0,0,1,1,1,1,1,1,1,9,1,1,1,0,0,1,1,1,1,1,1,1,9
3209800,74046556,2,2,2.947070858,0.076049738,2.947070858,0.076049738,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,0,1,1,1,1,1,4
2407000,73014473,3,3,3.015258914,0.06186004,3.015258914,0.06186004,1,1,0,0,0,0,1,1,1,1,1,1,7,1,1,0,0,0,0,1,1,1,1,1,1,7,1,1,0,0,0,0,1,1,1,1,1,1,7
ADHI_1038,12068338,0,0,0.017319965,0.317876292,0.017319965,0.317876292,1,1,1,1,1,0,0,0,0,1,0,1,6,1,1,1,0,1,1,1,0,0,0,0,1,6,0,0,0,0,1,1,1,0,0,0,0,0,3
ADHI_1034,12054929,1,0,0.005748949,0.241560646,0.005748949,0.241560646,1,1,1,0,1,1,1,1,1,1,1,1,10,1,1,1,0,1,1,1,1,0,1,1,1,9,1,1,1,0,0,1,0,0,1,1,1,1,7
5708200,56000604,2,2,3.811698801,0.042843538,3.811698801,0.042843538,1,1,1,0,0,1,1,1,1,1,1,1,9,1,1,1,0,0,1,1,1,1,1,1,1,9,1,1,1,0,0,1,1,1,1,1,1,1,9
5304167,56165934,0,0,0.035548991,0.126939924,0.035548991,0.126939924,1,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,1,3
3635100,62069970,2,3,3.927611008,0.032977793,3.927611008,0.032977793,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,0,0,1,1,1,1,1,1,1,9,1,1,1,0,0,1,1,1,1,1,1,1,9
3635010,62052966,1,3,3.79595666,0.035448763,3.79595666,0.035448763,0,1,1,1,1,1,1,1,1,1,1,0,10,1,1,1,0,0,1,1,1,1,1,1,1,9,1,1,1,0,1,1,1,1,1,1,1,1,10
11805,31007387,2,0,4.888083044,0.067353222,4.888083044,0.067353222,0,0,0,0,1,1,1,1,1,0,0,0,5,1,0,0,0,0,1,1,1,1,1,1,1,7,1,0,0,0,0,1,1,1,1,1,1,1,7
ADHI_1069,12052814,0,0,0.005324277,0.370616974,0.005324277,0.370616974,1,1,1,0,1,1,1,1,1,1,1,1,10,1,1,1,0,0,1,1,1,1,1,1,1,9,1,1,1,0,0,1,1,1,1,1,1,1,9
6139070,21003976,1,1,2.690304681,0.148776342,2.690304681,0.148776342,0,0,0,0,0,1,1,1,1,1,1,0,6,0,0,0,0,0,0,1,1,1,1,1,1,5,0,0,0,0,0,1,1,1,1,1,1,0,6
4213560,71021823,1,1,0.728291402,0.04206259,0.728291402,0.04206259,1,0,0,0,1,1,1,1,1,1,1,1,8,1,0,0,0,1,0,0,1,1,1,1,1,6,1,0,0,0,1,0,0,1,1,1,1,1,6
4213555,71040070,2,2,0.435847343,0.107297926,0.435847343,0.107297926,0,0,0,0,0,1,1,1,1,1,1,1,6,1,0,0,0,1,1,0,1,1,1,1,1,7,1,0,0,0,1,1,1,1,1,1,1,1,8
4203070,81006891,0,0,1.458310911,0.05520583,1.458310911,0.05520583,0,0,0,0,1,1,1,1,1,1,1,0,7,1,0,1,0,1,1,1,1,1,1,1,1,9,1,0,1,0,1,1,1,1,1,1,1,1,9
3638200,62068785,2,3,5.093519428,0.028691123,5.093519428,0.028691123,1,1,1,1,1,1,1,1,1,0,1,1,10,1,1,1,0,0,1,1,1,1,1,1,1,9,1,1,1,0,0,1,1,1,1,1,1,1,9
1196330,12061195,3,2,1.220805572,0.166723322,1.220805572,0.166723322,1,1,1,0,0,1,0,1,1,1,1,1,8,1,1,1,0,0,1,1,1,1,1,1,1,9,1,1,1,0,0,1,1,1,1,1,1,1,9
6227430,21018699,1,1,0.494704349,0.134668561,0.494704349,0.134668561,0,0,0,0,0,1,1,1,1,1,0,1,5,0,0,0,0,0,0,1,1,1,1,1,1,5,1,0,0,0,0,0,1,1,1,1,1,1,6
5606042,56155628,1,1,0.19117447,0.244137005,0.19117447,0.244137005,0,1,1,1,1,1,1,1,0,0,0,1,7,1,1,1,1,1,1,1,1,0,0,0,1,8,1,1,1,1,1,1,1,1,0,0,0,1,8
5202228,56165591,2,2,1.750486923,0.06409728,1.750486923,0.06409728,1,1,1,0,0,0,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,1,1,4,1,1,1,0,0,0,0,0,0,0,1,1,4
3635301,62099968,3,3,3.424337139,0.036529393,3.424337139,0.036529393,1,1,0,1,1,1,1,1,1,0,0,0,8,1,1,1,0,0,1,1,1,1,1,1,1,9,1,1,1,0,0,1,1,1,1,1,1,1,9
ADHI_1036,12060691,0,0,0.01423221,0.271556416,0.01423221,0.271556416,1,1,1,1,1,0,0,0,0,1,0,1,6,1,1,0,0,1,1,1,1,0,0,1,1,7,0,0,0,0,1,1,1,0,0,0,0,0,3
11126000,77028081,1,1,0.929720044,0.089501953,0.929720044,0.089501953,1,1,1,0,0,0,1,1,1,1,1,1,8,1,1,1,0,0,0,1,1,1,1,1,1,8,1,1,1,0,0,0,1,1,1,1,1,1,8
6846500,74038340,0,1,0.166733866,0.366219543,0.166733866,0.366219543,0,0,0,0,0,1,1,1,1,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,2
3649255,62126989,2,3,3.760561923,0.033873407,3.760561923,0.033873407,1,1,1,0,0,1,1,1,1,1,1,1,9,1,1,1,0,0,1,1,1,1,1,1,1,9,1,1,1,0,0,1,1,1,1,1,1,1,9
1160760,12092402,1,1,0.293537414,0.20245111,0.293537414,0.20245111,1,1,1,0,1,0,0,1,0,1,1,1,7,1,0,0,0,0,0,0,0,0,1,1,1,3,1,0,0,0,0,0,0,0,0,1,1,1,3
ADHI_1037,12059664,0,0,0.015305866,0.300149714,0.015305866,0.300149714,1,1,1,1,1,0,0,0,1,1,1,1,8,1,1,1,0,1,1,1,0,0,0,1,1,7,0,0,0,0,1,1,1,0,0,0,0,0,3
ADHI_1019,12044225,0,0,0.007972457,0.286307571,0.007972457,0.286307571,1,1,1,0,1,1,1,1,1,1,1,1,10,1,1,1,0,1,1,1,1,0,1,1,1,9,1,1,1,0,0,1,1,1,0,1,1,1,8
10293050,77014705,2,2,1.281888243,0.050596557,1.281888243,0.050596557,0,0,0,0,1,1,1,1,1,0,0,0,5,0,0,0,0,1,1,1,1,1,1,1,1,7,0,0,0,0,1,1,1,1,1,1,1,1,7
6503300,23004755,2,2,4.546371687,0.159562045,4.546371687,0.159562045,1,0,0,0,1,1,1,1,1,1,1,0,8,1,0,0,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,0,0,1,9
6024580,74010215,2,2,1.165885357,0.079510835,1.165885357,0.079510835,1,1,0,0,1,1,1,1,1,1,1,1,9,1,1,1,0,1,1,1,1,1,1,1,1,10,1,1,0,0,1,1,1,1,1,1,1,1,9
saba_derol,45059973,2,2,0.6174389,0.081905731,0.6174389,0.081905731,1,1,1,1,1,1,1,1,1,0,1,1,10,1,1,1,1,1,1,1,1,1,0,0,0,9,1,1,1,1,1,1,1,1,1,0,0,0,9
6155900,74001187,2,2,0.0149979,0.19619784,0.0149979,0.19619784,0,0,0,0,1,1,1,1,1,1,1,0,7,0,0,0,0,1,1,1,1,1,1,1,0,7,0,0,0,1,1,1,1,1,1,1,1,1,8
5607520,56045463,1,1,0.03558002,0.250136658,0.03558002,0.250136658,1,1,1,0,1,0,1,1,1,1,1,1,9,1,1,1,0,0,1,1,1,1,1,1,1,9,1,1,1,0,0,1,1,1,1,1,1,1,9
3650690,63004226,3,1,0.164975647,0.157149923,0.164975647,0.157149923,1,1,1,1,1,0,0,1,1,1,1,1,9,1,1,1,0,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,11
3617110,62099015,3,3,2.000624787,0.060720287,2.000624787,0.060720287,1,1,1,1,1,1,1,1,1,1,1,0,11,1,1,1,0,0,1,1,1,1,1,1,1,9,1,1,1,0,0,1,1,1,1,1,1,1,9
1526200,14084694,2,1,0.177072669,0.064475715,0.177072669,0.064475715,0,1,1,1,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,0,0,0,1,8,1,1,1,1,1,1,1,0,0,0,0,1,7
9240020,77006692,1,2,1.511903335,0.146484967,1.511903335,0.146484967,1,1,0,0,1,1,0,1,1,1,1,1,8,1,1,0,0,0,1,1,1,1,1,1,1,8,1,1,0,0,0,1,1,1,1,1,1,1,8
8227000,75000070,2,1,0.339319928,0.161037101,0.339319928,0.161037101,1,1,1,1,1,1,0,0,1,0,1,1,8,1,1,0,0,0,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,11
7119700,74045839,2,2,0.038333251,0.39298671,0.038333251,0.39298671,0,1,0,1,1,1,1,0,0,0,0,1,5,0,0,0,0,0,1,1,1,1,1,0,0,5,0,0,0,0,0,1,1,1,1,1,1,0,6
7099400,74045868,1,1,0.223035871,0.237094119,0.223035871,0.237094119,1,1,0,1,1,1,1,1,1,1,1,1,10,1,1,0,0,0,1,1,1,1,1,1,1,8,1,0,0,0,0,1,1,1,1,1,1,1,7
7097000,74045887,1,1,0.284603263,0.218352284,0.284603263,0.218352284,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,0,0,0,1,1,1,1,1,1,1,8,1,1,0,0,0,1,1,1,1,1,1,1,8
7093700,74045948,1,1,0.752496037,0.183358069,0.752496037,0.183358069,1,1,1,0,1,1,0,1,1,1,1,1,9,1,1,0,0,0,1,1,1,1,1,1,1,8,1,1,0,0,0,1,1,1,1,1,1,1,8
